"100000000111111111000000110111111110000000111000000110","000000",
"100000010111110111000111001111111010000110110000010010","000001",
"100000100111100111011111000111110110010010011000011101","000010",
"100000110111010000010011011111110010100011011000101000","000011",
"100001000110110001101111001111101110111001100000110010","000100",
"100001010110001011111100011111101011010100111000111100","000101",
"100001100101011111000101010111100111110101000001000100","000110",
"100001110100101011010011001111100100011010000001001110","000111",
"100010000011110000101111011111100001000011011001011000","001000",
"100010010010101111100011000111011101110001010001100000","001001",
"100010100001100111110110101111011010100011011001101000","001010",
"100010110000011001110010100111010111011001100001110001","001011",
"100010111111000101011110111111010100010011101001111000","001100",
"100011001101101011000011010111010001010001101010000000","001101",
"100011011100001010100111100111001110010011011010000111","001110",
"100011101010100100010010111111001011011000110010001110","001111",
"100011111000111000001100010111001000100001100010010110","010000",
"100100000111000110011010110111000101101101110010011100","010001",
"100100010101001111000101000111000010111101010010100010","010010",
"100100100011010010010001011111000000001111111010101000","010011",
"100100110001010000000110001110111101100101101010101110","010100",
"100100111111001000101001011110111010111110011010110100","010101",
"100101001100111100000001000110111000011010000010111011","010110",
"100101011010101010010010111110110101111000100010111111","010111",
"100101101000010011100100011110110011011001101011000101","011000",
"100101110101110111111011000110110000111101101011001010","011001",
"100110000011010111011100000110101110100100000011010000","011010",
"100110010000110010001100100110101100001101000011010101","011011",
"100110011110001000010001100110101001111000100011011010","011100",
"100110101011011001101111111110100111100110011011011110","011101",
"100110111000100110101100010110100101010110100011100011","011110",
"100111000101101111001011010110100011001001000011100111","011111",
"100111010010110011010001011110100000111101101011101011","100000",
"100111011111110011000010111110011110110100011011110000","100001",
"100111101100101110100100001110011100101101010011110100","100010",
"100111111001100101111001010110011010101000010011111000","100011",
"101000000110011001000110010110011000100101001011111011","100100",
"101000010011001000001111000110010110100100000011111111","100101",
"101000011111110011010111011110010100100100110100000011","100110",
"101000101100011010100011001110010010100111011100000111","100111",
"101000111000111101110110000110010000101011111100001010","101000"
"101001000101011101010011011110001110110010000100001110","101001"
"101001010001111000111110111110001100111001111100010010","101010"
"101001011110010000111011111110001011000011100100010101","101011"
"101001101010100101001101101110001001001110101100011000","101100"
"101001110110110101110111100110000111011011100100011011","101101"
"101010000011000010111100100110000101101001111100011110","101110"
"101010001111001100011111111110000011111001110100100001","101111"
"101010011011010010100100100110000010001011010100100100","110000"
"101010100111010101001101100110000000011110001100100111","110001"
"101010110011010100011101101101111110110010011100101011","110010"
"101010111111010000010111111101111101001000001100101101","110011"
"101011001011001000111110111101111011011111010100110000","110100"
"101011010110111110010101100101111001110111101100110010","110101"
"101011100010110000011110010101111000010001011100110100","110110"
"101011101110011111011011110101110110101100011100110111","110111"
"101011111010001011010000100101110101001000110100111010","111000"
"101100000101110011111111010101110011100110010100111100","111001"
"101100010001011001101010001101110010000101000100111110","111010"
"101100011100111100010011101101110000100100111101000001","111011"
"101100101000011011111110010101101111000110000101000011","111100"
"101100110011111000101100000101101101101000001101000110","111101"
"101100111111010010011111011101101100001011100101001000","111110"
"101101001010101001011010100101101010101111111101001011","111111"
